Book Title,Cleaned?,Author Last Name,Author First/Middle,Book Series,Vol. #,Cover Type,Category,Condition,Date Purchased,Source,Seller,Order #,Thriftbooks Price,Purchase Price,Our Price,Profit Est.,Author Fullname,Pulled to Read
The Snatcher of Raven Hollow,TRUE,McMann,Matt,Monsterious,,Paper,YA/Nostalgia,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$5.49,$0.25,,,Matt McMann,FALSE
Escape from Grimstone Manor,TRUE,McMann,Matt,Monsterious,,Paper,YA/Nostalgia,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$5.99,$0.25,,,Matt McMann,FALSE
The Ghoul of Windydown Vale,FALSE,Burk,Jake,,,Hard,YA/Nostalgia,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$7.49,$0.25,,,Jake Burk,FALSE
Stonebird,FALSE,Revell,Mike,,,Hard,YA/Nostalgia,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$9.99,$0.25,,,Mike Revell,FALSE
Naomi Teitelbaum Ends the World,FALSE,Shanker,Samara,,,Hard,YA/Nostalgia,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$8.99,$0.25,,,Samara Shanker,FALSE
All Fall Down,TRUE,Fox,Zachary Alan,,,Paper,PFH/Vintage,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$5.19,$0.17,,,Zachary Alan Fox,FALSE
Skin,TRUE,Hayder,Mo,,,Paper,Mainstream,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$6.99,$0.17,,,Mo Hayder,FALSE
The Good Twin,FALSE,Green,Marti,,,Paper,Mainstream,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$6.77,$0.17,,,Marti Green,FALSE
Fool Moon,TRUE,Butcher,Jim,The Dresden Files,,Paper,Mainstream,Very Good,11/1/2025,Library,Friends of Del Webb Library,,$4.29,$0.17,,,Jim Butcher,FALSE
Thirteen,FALSE,Authors,Various,,,Paper,PFH/Vintage,Good,11/2/2025,eBay,horrorlady,02-13793-22254,$6.19,$3.88,,,Various Authors,FALSE
Omen IV: Armageddon,FALSE,McGill,Gordon,Omen,4,Paper,PFH/Vintage,Good,11/2/2025,eBay,horrorlady,02-13793-22254,$10.00,$3.88,,,Gordon McGill,FALSE
The Night Church,FALSE,Strieber,Whitley,,,Paper,PFH/Vintage,Good,11/2/2025,eBay,horrorlady,02-13793-22254,$5.59,$3.88,,,Whitley Strieber,FALSE
Turning,FALSE,Scott,Justin,,,Paper,PFH/Vintage,Good,11/2/2025,eBay,horrorlady,02-13793-22254,$5.09,$3.88,,,Justin Scott,FALSE
Someone at the Door,FALSE,Cusick,Richie Tankersley,,,Paper,YA/Nostalgia,Good,11/2/2025,eBay,horrorlady,02-13793-22254,$7.89,$3.88,,,Richie Tankersley Cusick,FALSE
Bride of Satan,FALSE,Schoell,William,,,Paper,PFH/Vintage,Acceptable,11/2/2025,eBay,horrorlady,02-13793-22254,$20.00,$3.88,,,William Schoell,FALSE
Red Dragon,FALSE,Harris,Thomas,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.59,$1.37,,,Thomas Harris,FALSE
Lost Boy Lost Girl,FALSE,Straub,Peter,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.79,$1.37,,,Peter Straub,FALSE
Downsiders,FALSE,Shusterman,Neal,,,Paper,YA/Nostalgia,Very Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.19,$1.37,,,Neal Shusterman,FALSE
The Mall,FALSE,Cusick,Richie Tankersley,,,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$10.00,$1.37,,,Richie Tankersley Cusick,FALSE
This Present Darkness,FALSE,Peretti,Frank E.,,,Paper,PFH/Vintage,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$17.79,$1.37,,,Frank E. Peretti,FALSE
Angel - Image,FALSE,Odom,Mel,Angel,3,Paper,YA/Nostalgia,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$6.29,$1.37,,,Mel Odom,FALSE
The Door to December,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.39,$1.37,,,Dean R. Koontz,FALSE
Gimme a Kiss,FALSE,Pike,Christopher,,,Paper,YA/Nostalgia,Acceptable,11/1/2025,eBay,bookcapitol,09-13777-92463,$5.49,$1.37,,,Christopher Pike,FALSE
Whispers,FALSE,Koontz,Dean R.,,,Paper,Mainstream,Good,11/1/2025,eBay,bookcapitol,09-13777-92463,$4.79,$1.37,,,Dean R. Koontz,FALSE
